State,CD#,2018 Cook PVI Score,2018 Winner,Party,Dem Votes,GOP Votes,Other Votes,Dem %,GOP %,Other %,Dem Margin%,2016 Clinton Margin,Swing vs. 2016 Prez,Raw Votes vs. 2016,Final?
California,53,D+14,Susan Davis,D,"108,006","54,741",0,66.40%,33.60%,0.00%,32.70%,34.90%,-2.20%,52.40%,
78,,,,,,,,,,,,,,,
Colorado,1,D+21,Diana DeGette,D,"199,865","69,146","7,582",72.30%,25.00%,2.70%,47.30%,45.80%,1.50%,68.80%,
79,,,,,,,,,,,,,,,
Colorado,2,D+9,Joe Neguse,D,"254,356","143,105","25,584",60.10%,33.80%,6.00%,26.30%,21.30%,5.00%,89.80%,
80,,,,,,,,,,,,,,,
Colorado,3,R+6,Scott Tipton,R,"144,325","171,096","16,271",43.50%,51.60%,4.90%,-8.10%,-11.90%,3.80%,87.90%,
81,,,,,,,,,,,,,,,
Colorado,4,R+13,Ken Buck,R,"142,322","220,288",0,39.20%,60.80%,0.00%,-21.50%,-23.20%,1.70%,90.20%,
82,,,,,,,,,,,,,,,
Colorado,5,R+14,Doug Lamborn,R,"123,132","180,299","11,361",39.10%,57.30%,3.60%,-18.20%,-23.90%,5.70%,84.70%,
83,,,,,,,,,,,,,,,
Colorado,6,D+2,Jason Crow,D,"185,465","147,417","10,344",54.00%,43.00%,3.00%,11.10%,8.90%,2.20%,90.20%,
84,,,,,,,,,,,,,,,
Colorado,7,D+6,Ed Perlmutter,D,"198,792","117,328","13,412",60.30%,35.60%,4.10%,24.70%,12.10%,12.60%,88.60%,
85,,,,,,,,,,,,,,,
Connecticut,1,D+12,John Larson,D,"172,571","94,744","3,004",63.80%,35.00%,1.10%,28.80%,23.10%,5.70%,82.10%,
86,,,,,,,,,,,,,,,
Connecticut,2,D+3,Joe Courtney,D,"178,881","102,326","6,821",62.10%,35.50%,2.40%,26.60%,2.90%,23.70%,84.40%,
87,,,,,,,,,,,,,,,
Connecticut,3,D+9,Rosa DeLauro,D,"151,956","92,942",0,62.00%,38.00%,0.00%,24.10%,15.50%,8.60%,76.00%,
88,,,,,,,,,,,,,,,
Connecticut,4,D+7,Jim Himes,D,"165,278","106,156",0,60.90%,39.10%,0.00%,21.80%,23.00%,-1.20%,82.60%,
89,,,,,,,,,,,,,,,
Connecticut,5,D+2,Jahana Hayes,D,"142,508","112,501",0,55.90%,44.10%,0.00%,11.80%,4.10%,7.70%,78.90%,
90,,,,,,,,,,,,,,,
Delaware,AL,D+6,Lisa Blunt Rochester,D,"227,353","125,384",0,64.50%,35.50%,0.00%,28.90%,11.40%,17.50%,79.60%,
91,,,,,,,,,,,,,,,x
Florida,1,R+22,Matt Gaetz,R,"105,998","215,980",0,32.90%,67.10%,0.00%,-34.20%,-39.30%,5.10%,84.70%,
92,,,,,,,,,,,,,,,
